AIRPORT,Year,INBOUND FRIEGHT,OUTBOUND FREIGHT,INBOUND MAIL,OUTBOUND MAIL
NEWCASTLE,1993-94,0.0,0.0,0.0,0.0
NEWCASTLE,1994-95,0.0,0.0,0.0,0.0
NEWCASTLE,1995-96,0.0,0.0,0.0,0.0
NEWCASTLE,1996-97,0.0,0.0,0.0,0.0
NEWCASTLE,1997-98,0.0,0.0,0.0,0.0
NEWCASTLE,1998-99,0.0,0.0,0.0,0.0
NEWCASTLE,1999-00,0.0,0.0,0.0,0.0
NEWCASTLE,2000-01,0.0,0.0,0.0,0.0
NEWCASTLE,2001-02,0.0,0.0,0.0,0.0
NEWCASTLE,2002-03,0.0,0.0,0.0,0.0
NEWCASTLE,2003-04,0.0,0.0,0.0,0.0
NEWCASTLE,2004-05,0.0,0.0,0.0,0.0
NEWCASTLE,2005-06,0.0,0.0,0.0,0.0
NEWCASTLE,2006-07,0.0,0.0,0.0,0.0
NEWCASTLE,2007-08,0.0,0.0,0.0,0.0
NEWCASTLE,2008-09,0.0,0.0,0.0,0.0
NEWCASTLE,2009-10,0.0,0.0,0.0,0.0
NEWCASTLE,2010-11,0.0,0.0,0.0,0.0
NEWCASTLE,2011-12,0.0,0.0,0.0,0.0
NEWCASTLE,2012-13,0.0,0.0,0.0,0.0
NEWCASTLE,2013-14,0.0,0.0,0.0,0.0
NEWCASTLE,2014-15,0.0,0.0,0.0,0.0
NEWCASTLE,2015-16,0.0,0.0,0.0,0.0
NEWCASTLE,2016-17,0.0,0.0,0.0,0.0
NEWCASTLE,2017-18,0.0,0.0,0.0,0.0
NEWCASTLE,2018-19,0.0,0.0,0.0,0.0
NEWCASTLE,2019-20,0.0,0.0,0.0,0.0
NEWCASTLE,2020-21,0.0,0.0,0.0,0.0
NEWCASTLE,2021-22,0.0,0.0,0.0,0.0
NEWCASTLE,2022-23,0.0,0.0,0.0,0.0
NORFOLK ISLAND,1985-86,109.886,5.249,9.834,4.241
NORFOLK ISLAND,1986-87,114.629,5.326,0.228,0.211
NORFOLK ISLAND,1987-88,111.587,8.207,0.57,0.651
NORFOLK ISLAND,1988-89,167.652,6.976,4.146,5.583
NORFOLK ISLAND,1989-90,166.846,7.808,10.383,3.136
NORFOLK ISLAND,1990-91,197.93,8.292,8.417,4.856
NORFOLK ISLAND,1991-92,218.113,5.188,5.67,2.348
NORFOLK ISLAND,1992-93,171.247,12.835,5.555,1.809
NORFOLK ISLAND,1993-94,151.931,9.459,4.903,2.196
NORFOLK ISLAND,1994-95,137.895,7.533,4.014,1.435
NORFOLK ISLAND,1995-96,144.581,6.103,3.883,2.711
